GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
lab2-function-system,com.example.lab2.util,AngleNormalizer,4,19,1,3,1,5,1,2,0,1
lab2-function-system,com.example.lab2.util,DoubleComparator,0,34,2,6,0,6,2,5,0,3
lab2-function-system,com.example.lab2.model,SampledPoint,0,9,0,0,0,1,0,1,0,1
lab2-function-system,com.example.lab2.approximation,LnSeriesCalculator,0,64,0,6,0,16,0,5,0,2
lab2-function-system,com.example.lab2.approximation,TaylorSinCalculator,0,46,0,2,0,11,0,3,0,2
lab2-function-system,com.example.lab2.function.trig,TanFunction,0,34,0,2,0,9,0,3,0,2
lab2-function-system,com.example.lab2.function.trig,SecFunction,0,25,0,2,0,7,0,3,0,2
lab2-function-system,com.example.lab2.function.trig,CscFunction,0,25,0,2,0,7,0,3,0,2
lab2-function-system,com.example.lab2.function.trig,SinFunction,0,12,0,0,0,4,0,2,0,2
lab2-function-system,com.example.lab2.function.trig,CotFunction,0,34,0,2,0,9,0,3,0,2
lab2-function-system,com.example.lab2.function.trig,CosFunction,0,14,0,0,0,4,0,2,0,2
lab2-function-system,com.example.lab2.io,CsvExporter,8,84,1,3,2,15,1,3,0,2
lab2-function-system,com.example.lab2.io,FunctionSampler,10,43,2,4,2,10,2,3,0,2
lab2-function-system,com.example.lab2.factory,FunctionFactory,0,75,0,0,0,13,0,3,0,3
lab2-function-system,com.example.lab2.function.system,FunctionSystem,5,143,1,3,1,29,1,5,0,4
lab2-function-system,com.example.lab2,Application,100,0,0,0,26,0,3,0,3,0
lab2-function-system,com.example.lab2.function.log,LnFunction,0,12,0,0,0,4,0,2,0,2
lab2-function-system,com.example.lab2.function.log,LogNFunction,10,45,3,5,2,10,3,3,0,2
lab2-function-system,com.example.lab2.stub,TableFunction,133,69,15,7,25,13,12,5,3,3
